Datetime,Temperature,Pressure,Humidity,Wind,Wind_Speed,Forcast,City
06.02.2017 02:00,10,768.3,87,Wind blowing from the south,1, ,Falconara 
06.02.2017 08:00,9.7,768.6,91,Wind blowing from the south-southeast,1, ,Falconara 
06.02.2017 11:00,17.1,768.5,63,Wind blowing from the east-southeast,1, ,Falconara 
06.02.2017 14:00,19.7,766.5,50,Wind blowing from the east,2, ,Falconara 
06.02.2017 17:00,17.3,766.8,64,Wind blowing from the north,2, ,Falconara 
06.02.2017 20:00,14.7,767.1,75,Wind blowing from the north-east,3, ,Falconara 
07.02.2017 02:00,11.7,765.3,83,Wind blowing from the east,5,Mist. ,Falconara 
07.02.2017 05:00,11.6,764.4,86,Wind blowing from the east,3,Mist. ,Falconara 
07.02.2017 11:00,18.6,763.2,63,Wind blowing from the east,4, ,Falconara 
07.02.2017 14:00,21.4,759.9,48,Wind blowing from the east-southeast,2, ,Falconara 
07.02.2017 20:00,16,758.9,75,"Calm, no wind",0, ,Falconara 
07.02.2017 23:00,15.2,758.2,82,Wind blowing from the east,3, ,Falconara 
08.02.2017 02:00,12.6,757.5,89,"Calm, no wind",0, ,Falconara 
08.02.2017 05:00,9.6,756.7,91,"Calm, no wind",0,"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ",Falconara 
08.02.2017 11:00,17.6,758.8,64,Wind blowing from the west-southwest,3, ,Falconara 
08.02.2017 14:00,18.3,758.6,63,Wind blowing from the west-northwest,4, ,Falconara 
08.02.2017 17:00,17,758.9,66,Wind blowing from the west-northwest,7, ,Falconara 
08.02.2017 20:00,16,760.6,67,Wind blowing from the west-northwest,5, ,Falconara 
08.02.2017 23:00,14.8,761.3,70,Wind blowing from the west-northwest,2, ,Falconara 
09.02.2017 02:00,10.8,761.4,84,"Calm, no wind",0, ,Falconara 
09.02.2017 05:00,9.6,761.7,87,"Calm, no wind",0, ,Falconara 
09.02.2017 08:00,9.6,762.6,85,"Calm, no wind",0, ,Falconara 
09.02.2017 14:00,18.2,763.3,49,Wind blowing from the west-northwest,3, ,Falconara 
09.02.2017 17:00,18,763.2,43,Wind blowing from the north-northwest,3, ,Falconara 
10.02.2017 02:00,11.9,763.6,82,Wind blowing from the east,3, ,Falconara 
10.02.2017 08:00,12,763.5,84,Wind blowing from the east,3, ,Falconara 
10.02.2017 11:00,17.9,763.5,51,Wind blowing from the south-southeast,3,Haze. ,Falconara 
10.02.2017 14:00,19.3,762.2,43,Wind blowing from the north,1,Haze. ,Falconara 
10.02.2017 17:00,17.4,762,59,Wind blowing from the north,3, ,Falconara 
10.02.2017 20:00,15,762.6,70,Wind blowing from the north-east,3, ,Falconara 
10.02.2017 23:00,13.4,762.2,75,Wind blowing from the east,2, ,Falconara 
11.02.2017 02:00,9.8,761.6,85,Wind blowing from the south-southwest,1, ,Falconara 
11.02.2017 05:00,9.4,760.8,89,Wind blowing from the south-southeast,1, ,Falconara 
11.02.2017 08:00,10,761.6,90,Wind blowing from the south-southeast,1,Mist. ,Falconara 
11.02.2017 11:00,15.9,762.1,66,Wind blowing from the south-southeast,3,Haze. ,Falconara 
11.02.2017 14:00,20.7,760.6,37,Wind blowing from the south-southeast,3, ,Falconara 
11.02.2017 17:00,18.9,760.2,36,Wind blowing from the north-west,2, ,Falconara 
11.02.2017 20:00,12.3,760.8,76,Wind blowing from the north-east,6, ,Falconara 
11.02.2017 23:00,12.4,760.8,82,Wind blowing from the east-northeast,2,Clouds generally dissolving or becoming less developed. ,Falconara 
12.02.2017 02:00,10.4,760.8,84,Wind blowing from the south-southwest,2, ,Falconara 
12.02.2017 05:00,9.8,760.8,87,Wind blowing from the south-east,2, ,Falconara 
12.02.2017 08:00,15,762.1,69,Wind blowing from the north-northwest,2, ,Falconara 
12.02.2017 11:00,17.2,763,61,Wind blowing from the north-northeast,5, ,Falconara 
12.02.2017 14:00,18.3,762.8,57,Wind blowing from the north,6, ,Falconara 
12.02.2017 17:00,16.4,763.5,63,Wind blowing from the north,5, ,Falconara 
12.02.2017 20:00,14.9,764.9,63,Wind blowing from the north,5, ,Falconara 
12.02.2017 23:00,14.2,765,59,Wind blowing from the north,6, ,Falconara 
13.02.2017 02:00,14.4,764.4,55,Wind blowing from the north,6, ,Falconara 
13.02.2017 05:00,13.8,763.8,55,Wind blowing from the north,6, ,Falconara 
13.02.2017 08:00,14.4,764.4,55,Wind blowing from the north,7, ,Falconara 
13.02.2017 11:00,16.6,764.9,55,Wind blowing from the north-northwest,8, ,Falconara 
13.02.2017 14:00,17.1,764.1,47,Wind blowing from the north-west,7, ,Falconara 
13.02.2017 17:00,14.5,764.5,51,Wind blowing from the north-northwest,8, ,Falconara 
13.02.2017 20:00,13.2,765,50,Wind blowing from the west-northwest,8, ,Falconara 
14.02.2017 02:00,12.3,766.5,55,Wind blowing from the north-west,5, ,Falconara 
